State ,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Telangana,SIDDIPET,Cowpea(Lobia),2018,Rabi       ,309,347,1.12
Telangana,SIDDIPET,Cowpea(Lobia),2019,Kharif     ,66,81,1.23
Telangana,SIDDIPET,Cowpea(Lobia),2019,Rabi       ,230,223,0.97
Telangana,SURYAPET,Cowpea(Lobia),2016,Rabi       ,623,161,0.26
Telangana,SURYAPET,Cowpea(Lobia),2017,Rabi       ,409,358,0.88
Telangana,SURYAPET,Cowpea(Lobia),2018,Rabi       ,502,309,0.62
Telangana,SURYAPET,Cowpea(Lobia),2019,Kharif     ,1,1,1
Telangana,SURYAPET,Cowpea(Lobia),2019,Rabi       ,97,12,0.12
Telangana,VIKARABAD,Cowpea(Lobia),2016,Kharif     ,129,79,0.61
Telangana,VIKARABAD,Cowpea(Lobia),2016,Rabi       ,31,35,1.13
Telangana,VIKARABAD,Cowpea(Lobia),2017,Kharif     ,585,439,0.75
Telangana,VIKARABAD,Cowpea(Lobia),2017,Rabi       ,61,79,1.3
Telangana,VIKARABAD,Cowpea(Lobia),2018,Kharif     ,593,360,0.61
Telangana,VIKARABAD,Cowpea(Lobia),2018,Rabi       ,65,73,1.12
Telangana,VIKARABAD,Cowpea(Lobia),2019,Kharif     ,480,295,0.61
Telangana,VIKARABAD,Cowpea(Lobia),2019,Rabi       ,9,9,1
Telangana,WANAPARTHY,Cowpea(Lobia),2016,Kharif     ,84,42,0.5
Telangana,WANAPARTHY,Cowpea(Lobia),2016,Rabi       ,29,33,1.14
Telangana,WANAPARTHY,Cowpea(Lobia),2017,Kharif     ,87,53,0.61
Telangana,WANAPARTHY,Cowpea(Lobia),2017,Rabi       ,19,25,1.32
Telangana,WANAPARTHY,Cowpea(Lobia),2018,Kharif     ,47,47,1
Telangana,WANAPARTHY,Cowpea(Lobia),2018,Rabi       ,62,70,1.13
Telangana,WANAPARTHY,Cowpea(Lobia),2019,Kharif     ,4,3,0.75
Telangana,WANAPARTHY,Cowpea(Lobia),2019,Rabi       ,1,1,1
Telangana,WARANGAL,Cowpea(Lobia),2013,Kharif     ,200,96,0.48
Telangana,WARANGAL,Cowpea(Lobia),2013,Rabi       ,1920,1572,0.82
Telangana,WARANGAL,Cowpea(Lobia),2014,Kharif     ,235,216,0.92
Telangana,WARANGAL,Cowpea(Lobia),2014,Rabi       ,2366,771,0.33
Telangana,WARANGAL,Cowpea(Lobia),2015,Kharif     ,266,139,0.52
Telangana,WARANGAL,Cowpea(Lobia),2015,Rabi       ,1303,10867,8.34
Telangana,WARANGAL,Cowpea(Lobia),2016,Rabi       ,44,22,0.5
Telangana,WARANGAL,Cowpea(Lobia),2017,Kharif     ,72,73,1.01
Telangana,WARANGAL,Cowpea(Lobia),2017,Rabi       ,78,102,1.31
Telangana,WARANGAL,Cowpea(Lobia),2018,Kharif     ,39,31,0.79
Telangana,WARANGAL,Cowpea(Lobia),2018,Rabi       ,74,83,1.12
Telangana,WARANGAL,Cowpea(Lobia),2019,Kharif     ,5,4,0.8
Telangana,WARANGAL,Cowpea(Lobia),2019,Rabi       ,47,46,0.98
Telangana,YADADRI,Cowpea(Lobia),2016,Rabi       ,3,1,0.33
Telangana,YADADRI,Cowpea(Lobia),2017,Kharif     ,22,22,1
